ride","kg/2021 USD, purchaser price","1.87e-09","0.00e+00","1.87e-09","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.30e-05","0.00e+00","1.30e-05","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.78e-08","0.00e+00","3.78e-08","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","5.11e-04","0.00e+00","5.11e-04","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.17e-07","0.00e+00","4.17e-07","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.22e-10","0.00e+00","5.22e-10","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","8.43e-09","0.00e+00","8.43e-09","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.64e-08","0.00e+00","1.64e-08","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","7.28e-09","0.00e+00","7.28e-09","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.15e-07","0.00e+00","4.15e-07","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.87e-09","0.00e+00","1.87e-09","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","423A00"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.79e-09","0.00e+00","2.79e-09","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.55e-07","0.00e+00","1.55e-07","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.30e-05","0.00e+00","1.30e-05","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","7.28e-09","0.00e+00","7.28e-09","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.22e-10","0.00e+00","5.22e-10","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.64e-08","0.00e+00","1.64e-08","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.79e-09","0.00e+00","2.79e-09","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.78e-08","0.00e+00","3.78e-08","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.87e-09","0.00e+00","1.87e-09","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","8.43e-09","0.00e+00","8.43e-09","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.26e-01","0.00e+00","1.26e-01","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.17e-07","0.00e+00","4.17e-07","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","5.11e-04","0.00e+00","5.11e-04","423A00"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.15e-07","0.00e+00","4.15e-07","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.87e-09","0.00e+00","1.87e-09","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.55e-07","0.00e+00","1.55e-07","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.78e-08","0.00e+00","3.78e-08","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","7.28e-09","0.00e+00","7.28e-09","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.30e-05","0.00e+00","1.30e-05","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.22e-10","0.00e+00","5.22e-10","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.26e-01","0.00e+00","1.26e-01","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.79e-09","0.00e+00","2.79e-09","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.15e-07","0.00e+00","4.15e-07","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.64e-08","0.00e+00","1.64e-08","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.17e-07","0.00e+00","4.17e-07","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","5.11e-04","0.00e+00","5.11e-04","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","8.43e-09","0.00e+00","8.43e-09","423A00"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","423A00"
423390,"Other Construction Material Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price",
